model,iteration,fraction,nnz_B,m,norm_B_1,cond2_exact,cond1_est,ratio_cond1_cond2,log10_cond2,log10_cond1_est,estimator_solves,estimator_runtime_s,factorize_runtime_s,dense_cond2_runtime_s,min_xB,eff_tol_exact,eff_tol_est,decision_exact,decision_est,decisions_match
pilot4_plain,0,0%,4165,657,6.31735168,125069.03019179619,1267995.5792581197,10.138365807375493,5.097149782259933,6.103117739423355,7,0.000385499995900318,0.0012876000109827146,0.061361500003840774,-1.0436096431476472e-15,1e-07,1e-07,no_action,no_action,True
pilot4_plain,1500,50%,4242,657,6.493242042848335,135364.45637338996,2306007.4573641354,17.03554625154504,5.131504643467663,6.362860707419589,7,0.0003831999929388985,0.0013128999999025837,0.05530690000159666,-3.939773854377826e-14,1e-07,1e-07,no_action,no_action,True
pilot4_plain,2250,75%,4254,657,6.493242042848335,135547.7490571425,2231483.7588877683,16.462713504353715,5.132092309963874,6.348593730320133,7,0.0003597000031732023,0.0013851999974576756,0.049341999998432584,-6.328271240363392e-15,1e-07,1e-07,no_action,no_action,True
pilot4_plain,3000,100%,4233,657,6.31735168,125689.10382215657,1666516.4528822748,13.259036799564642,5.09929762967463,6.22180960564174,7,0.0005297000025166199,0.0013585999986389652,0.04979369998909533,-8.992806499463768e-15,1e-07,1e-07,no_action,no_action,True
pilot4_plain,750,25%,4248,657,6.493242042848335,135305.8971417719,1457220.3424380396,10.769821369361171,5.131316725203082,6.163525225256485,7,0.0003521999897202477,0.0015542999899480492,0.05111509999551345,-1.1174130660024046e-15,1e-07,1e-07,no_action,no_action,True
pilot87,0,0%,36200,3608,36.74222885774739,28309.949387589677,10533216.033741832,372.06763917279596,4.45193909293592,7.022560991552321,5,0.0020044999982928857,0.0298008999961894,13.258885100003681,0.0,1e-07,1e-07,no_action,no_action,True
pilot87,12500,50%,37765,3608,36.74222885774739,113270.36479669757,32441505.964140058,286.40771151719554,5.054116299194594,7.511101006350936,5,0.0029638999985763803,0.03515009999682661,12.851400700004888,-0.0,1e-07,1e-07,no_action,no_action,True
pilot87,18750,75%,38156,3608,36.74222885774739,237592.3054550279,46775944.052729964,196.87482708308428,5.375832371694119,7.670022561383247,7,0.003240099991671741,0.033339999994495884,12.431549100001575,0.0,1e-07,1e-07,no_action,no_action,True
pilot87,25000,100%,38916,3608,36.74222885774739,71648.23702641242,27527459.85405774,384.20289174610133,4.855205508632588,7.439766137936631,7,0.0037355999957071617,0.03117539999948349,11.922235100006219,-0.0,1e-07,1e-07,no_action,no_action,True
pilot87,6250,25%,37312,3608,36.74222885774739,20599.586300659957,7432135.352180067,360.79051509602215,4.313858498566015,6.871113610319499,5,0.0021923999884165823,0.02693340000405442,11.991284999996424,0.0,1e-07,1e-07,no_action,no_action,True
