model,ordering,newton_iter,factor_time,schur_shape_0,schur_shape_1,nnz_M_reg,nnz_L,nnz_U,fill_ratio,reg,success,h_min,h_max,h_ratio
pilot4_plain,COLAMD,1,4.931700e-03,657,657,15289,33025,33016,4.319511e+00,1.911405e-08,True,3.145650e-05,2.673352e-04,8.498568e+00
pilot4_plain,COLAMD,2,3.529300e-03,657,657,15289,32928,33485,4.343842e+00,4.764215e-08,True,1.815773e-07,6.554161e-02,3.609570e+05
pilot4_plain,COLAMD,3,3.962800e-03,657,657,15289,34287,34690,4.511544e+00,5.430482e-08,True,4.236405e-07,3.386809e-01,7.994535e+05
pilot4_plain,COLAMD,4,3.656700e-03,657,657,15289,33918,34404,4.468703e+00,1.750835e-07,True,1.723787e-07,2.107757e+00,1.222748e+07
pilot4_plain,COLAMD,5,3.838600e-03,657,657,15289,33665,33229,4.375303e+00,1.531885e-06,True,6.188378e-09,1.010875e+02,1.633506e+10
pilot4_plain,COLAMD,6,5.462900e-03,657,657,15289,32807,34068,4.374060e+00,4.406579e-06,True,1.075548e-08,2.580792e+02,2.399513e+10
pilot4_plain,COLAMD,7,4.391200e-03,657,657,15289,31817,33346,4.262084e+00,1.315841e-05,True,1.446731e-09,5.072855e+03,3.506425e+12
pilot4_plain,COLAMD,8,4.849900e-03,657,657,15289,31628,33968,4.290405e+00,2.918443e-05,True,1.062894e-09,5.992600e+03,5.638006e+12
pilot4_plain,COLAMD,9,3.722500e-03,657,657,15289,29162,34501,4.163974e+00,3.905149e-05,True,9.414303e-10,7.692564e+03,8.171146e+12
pilot4_plain,COLAMD,10,4.056500e-03,657,657,15289,29584,34576,4.196481e+00,7.108387e-05,True,6.366049e-10,1.190255e+04,1.869693e+13
pilot4_plain,COLAMD,11,5.000400e-03,657,657,15289,29664,34929,4.224802e+00,2.045425e-04,True,3.226689e-10,1.350080e+04,4.184103e+13
pilot4_plain,COLAMD,12,4.539200e-03,657,657,15289,29641,34787,4.214010e+00,2.982532e-04,True,2.088496e-10,1.303876e+04,6.243133e+13
pilot4_plain,COLAMD,13,4.015400e-03,657,657,15289,29548,34619,4.196939e+00,4.851680e-04,True,1.238598e-10,1.251630e+04,1.010522e+14
pilot4_plain,COLAMD,14,4.767800e-03,657,657,15289,29749,34821,4.223298e+00,6.329488e-04,True,1.051119e-10,1.139003e+04,1.083610e+14
pilot4_plain,COLAMD,15,4.078100e-03,657,657,15289,29712,34711,4.213683e+00,9.950776e-04,True,7.555011e-11,1.413541e+04,1.870998e+14
pilot4_plain,COLAMD,16,4.149600e-03,657,657,15289,30031,34364,4.211852e+00,8.334223e-04,True,4.825636e-11,3.869593e+04,8.018824e+14
pilot4_plain,COLAMD,17,4.272800e-03,657,657,15289,29924,34363,4.204788e+00,4.311021e-04,True,2.768402e-11,9.637443e+04,3.481229e+15
pilot4_plain,COLAMD,18,4.380500e-03,657,657,15289,29955,34277,4.201190e+00,3.707519e-04,True,2.479041e-11,1.244355e+05,5.019501e+15
pilot4_plain,COLAMD,19,3.565100e-03,657,657,15289,31624,34724,4.339591e+00,2.705152e-04,True,2.176796e-11,1.588365e+05,7.296805e+15
pilot4_plain,COLAMD,20,4.336600e-03,657,657,15289,32156,35159,4.402839e+00,1.972368e-04,True,1.936363e-11,2.250552e+05,1.162258e+16
pilot4_plain,COLAMD,21,3.939900e-03,657,657,15289,32123,35175,4.401727e+00,1.721128e-04,True,1.868564e-11,2.590546e+05,1.386384e+16
pilot4_plain,COLAMD,22,4.009600e-03,657,657,15289,31846,34762,4.356596e+00,1.296932e-04,True,1.764742e-11,3.914504e+05,2.218173e+16
pilot4_plain,COLAMD,23,4.104800e-03,657,657,15289,29958,34181,4.195108e+00,1.102772e-04,True,1.815667e-11,4.784567e+05,2.635156e+16
pilot4_plain,COLAMD,24,5.177900e-03,657,657,15289,32445,35624,4.452155e+00,1.007562e-04,True,1.840272e-11,5.490266e+05,2.983399e+16
pilot4_plain,COLAMD,25,4.075900e-03,657,657,15289,30146,34524,4.229838e+00,7.845903e-05,True,1.826470e-11,7.449040e+05,4.078380e+16
pilot4_plain,COLAMD,26,3.693600e-03,657,657,15289,29800,34799,4.225195e+00,4.985133e-05,True,1.751324e-11,1.420809e+06,8.112772e+16
pilot4_plain,COLAMD,27,3.781600e-03,657,657,15289,29648,34226,4.177775e+00,4.066231e-05,True,1.701559e-11,1.882230e+06,1.106179e+17
pilot4_plain,COLAMD,28,3.787100e-03,657,657,15289,29894,34547,4.214860e+00,3.397947e-05,True,1.610291e-11,2.301216e+06,1.429068e+17
pilot4_plain,COLAMD,29,4.873300e-03,657,657,15289,29571,34120,4.165805e+00,3.210463e-05,True,1.783490e-11,2.761221e+06,1.548212e+17
pilot4_plain,COLAMD,30,4.991000e-03,657,657,15289,30388,34950,4.273530e+00,2.437559e-05,True,1.849048e-11,3.762423e+06,2.034789e+17
pilot4_plain,COLAMD,31,5.133100e-03,657,657,15289,30274,34819,4.257505e+00,1.574152e-05,True,8.870627e-12,6.798034e+06,7.663532e+17
pilot4_plain,COLAMD,32,3.747900e-03,657,657,15289,31893,36066,4.444960e+00,1.138824e-05,True,5.635001e-12,1.184109e+07,2.101346e+18
pilot4_plain,COLAMD,33,3.831100e-03,657,657,15289,32076,35944,4.448950e+00,1.171566e-05,True,4.113553e-12,2.026373e+07,4.926089e+18
pilot4_plain,COLAMD,34,4.206000e-03,657,657,15289,31865,35548,4.409248e+00,1.233668e-05,True,2.132318e-12,3.419867e+07,1.603826e+19
pilot4_plain,COLAMD,35,5.369400e-03,657,657,15289,32447,35882,4.469161e+00,1.296087e-05,True,1.003341e-12,1.367856e+08,1.363301e+20
pilot4_plain,COLAMD,36,4.053600e-03,657,657,15289,33623,36250,4.570148e+00,1.354565e-05,True,4.477860e-13,6.398665e+08,1.428956e+21
pilot4_plain,COLAMD,37,4.112900e-03,657,657,15289,33614,36355,4.576427e+00,1.379146e-05,True,3.154839e-13,1.043257e+09,3.306848e+21
pilot4_plain,COLAMD,38,5.502900e-03,657,657,15289,33500,36224,4.560403e+00,1.418109e-05,True,1.906995e-13,1.331659e+09,6.983023e+21
pilot4_plain,COLAMD,39,3.747700e-03,657,657,15289,32868,35734,4.487017e+00,1.552480e-05,True,3.160720e-14,7.544785e+09,2.387046e+23
pilot4_plain,COLAMD,40,5.321000e-03,657,657,15289,32590,35737,4.469030e+00,1.582924e-05,True,2.156529e-14,1.346099e+10,6.241968e+23
pilot4_plain,COLAMD,41,3.908300e-03,657,657,15289,32376,35815,4.460135e+00,1.623534e-05,True,1.337696e-14,1.908843e+10,1.426963e+24
pilot4_plain,COLAMD,42,5.308400e-03,657,657,15289,34360,35467,4.567140e+00,1.921599e-05,True,9.247752e-16,6.263824e+10,6.773348e+25
pilot4_plain,COLAMD,43,4.874300e-03,657,657,15289,33146,35091,4.463143e+00,1.881458e-05,True,1.239705e-15,1.955852e+11,1.577676e+26
pilot4_plain,COLAMD,44,4.048100e-03,657,657,15289,33480,35008,4.479560e+00,2.087078e-05,True,2.632838e-16,3.307180e+11,1.256127e+27
pilot4_plain,COLAMD,45,3.906000e-03,657,657,15289,33463,35029,4.479822e+00,2.059795e-05,True,3.224463e-16,3.355159e+11,1.040533e+27
pilot4_plain,COLAMD,46,4.124700e-03,657,657,15289,33235,34469,4.428282e+00,1.929378e-05,True,8.646220e-16,3.422209e+11,3.958040e+26
pilot4_plain,COLAMD,47,3.529600e-03,657,657,15289,33461,34996,4.477533e+00,2.111774e-05,True,2.197898e-16,1.019852e+12,4.640122e+27
pilot4_plain,COLAMD,48,6.064900e-03,657,657,15289,33458,35022,4.479037e+00,2.085272e-05,True,2.675950e-16,1.127362e+12,4.212942e+27
pilot4_plain,COLAMD,49,4.578700e-03,657,657,15289,31847,35103,4.378965e+00,1.785278e-05,True,2.552291e-15,1.021659e+12,4.002911e+26
pilot4_plain,COLAMD,50,4.762600e-03,657,657,15289,31885,35078,4.379816e+00,1.784098e-05,True,2.665869e-15,1.459840e+11,5.476039e+25
pilot4_plain,COLAMD,51,4.747800e-03,657,657,15289,32418,35514,4.443194e+00,1.730692e-05,True,4.194277e-15,1.044940e+11,2.491347e+25
pilot4_plain,COLAMD,52,4.275600e-03,657,657,15289,33768,35359,4.521355e+00,1.891506e-05,True,1.143975e-15,1.587231e+11,1.387470e+26
pilot4_plain,COLAMD,53,5.748600e-03,657,657,15289,33334,35468,4.500098e+00,1.868670e-05,True,1.359404e-15,1.619572e+11,1.191385e+26
pilot4_plain,COLAMD,54,6.172200e-03,657,657,15289,33335,35533,4.504415e+00,1.828173e-05,True,1.848978e-15,2.378021e+11,1.286127e+26
pilot4_plain,COLAMD,55,5.818500e-03,657,657,15289,33179,34506,4.427039e+00,1.964973e-05,True,6.426730e-16,3.772301e+11,5.869706e+26
pilot4_plain,COLAMD,56,5.248600e-03,657,657,15289,33385,34900,4.466283e+00,1.931362e-05,True,8.289670e-16,4.696771e+11,5.665811e+26
pilot4_plain,COLAMD,57,4.065800e-03,657,657,15289,33586,35399,4.512067e+00,2.390287e-05,True,2.563097e-17,5.001393e+12,1.951308e+29
pilot4_plain,COLAMD,58,4.823700e-03,657,657,15289,33435,35417,4.503368e+00,2.339445e-05,True,3.892224e-17,4.775778e+12,1.227005e+29
pilot4_plain,COLAMD,59,5.245700e-03,657,657,15289,31844,35009,4.372621e+00,1.725230e-05,True,4.263973e-15,2.340232e+11,5.488383e+25
pilot4_plain,COLAMD,60,5.047500e-03,657,657,15289,33338,35550,4.505723e+00,1.867939e-05,True,1.332406e-15,4.806972e+11,3.607739e+26
pilot4_plain,COLAMD,61,4.700400e-03,657,657,15289,33438,35255,4.492969e+00,1.939091e-05,True,7.940517e-16,5.121177e+11,6.449424e+26
pilot4_plain,COLAMD,62,5.525300e-03,657,657,15289,33496,35771,4.530512e+00,2.381378e-05,True,2.870932e-17,2.765426e+13,9.632499e+29
pilot4_plain,COLAMD,63,4.007300e-03,657,657,15289,34126,36041,4.589378e+00,2.641042e-05,True,2.201252e-18,1.358542e+14,6.171676e+31
