stage,iteration,elapsed_s,L_nnz,U_nnz,fill_in_ratio
1_lp_creation,,0.440147,,,
2_to_standard_form,,0.003856,,,
3_scale_lp,,0.002832,,,
4_initialization,,0.197070,,,
iter0_residuals,0,0.000188,,,
iter0_H,0,0.000006,,,
factorization,0,8.878508,11530225,11529333,66.8818
solve,0,0.068290,,,
iter0_affine,0,0.068639,,,
solve,0,0.065685,,,
iter0_corrector,0,0.065890,,,
iter1_residuals,1,0.000239,,,
iter1_H,1,0.000009,,,
factorization,1,8.728654,11530225,11529333,66.8818
solve,1,0.050828,,,
iter1_affine,1,0.051155,,,
solve,1,0.060713,,,
iter1_corrector,1,0.061066,,,
iter2_residuals,2,0.000195,,,
iter2_H,2,0.000005,,,
factorization,2,8.367687,11530225,11529333,66.8818
solve,2,0.069886,,,
iter2_affine,2,0.070107,,,
solve,2,0.055354,,,
iter2_corrector,2,0.055567,,,
