=== PART 1: Real-basis gate parameters ===
model,iteration,min_xB,b_norm,cond2_exact,cond1_est,raw_tol_exact,raw_tol_est,eff_tol_exact,eff_tol_est
pilot4_plain,0,-1.043610e-15,2.657635e+04,1.250690e+05,1.267996e+06,3.690246e-05,3.741306e-04,3.690246e-05,3.741306e-04
pilot4_plain,1500,-3.939774e-14,2.657635e+04,1.353645e+05,2.306007e+06,3.994019e-05,6.804030e-04,3.994019e-05,6.804030e-04
pilot4_plain,2250,-6.328271e-15,2.657635e+04,1.355477e+05,2.231484e+06,3.999428e-05,6.584143e-04,3.999428e-05,6.584143e-04
pilot4_plain,3000,-8.992806e-15,2.657635e+04,1.256891e+05,1.666516e+06,3.708542e-05,4.917169e-04,3.708542e-05,4.917169e-04
pilot4_plain,750,-1.117413e-15,2.657635e+04,1.353059e+05,1.457220e+06,3.992292e-05,4.299627e-04,3.992292e-05,4.299627e-04
pilot87,0,0.000000e+00,1.647461e+04,2.830995e+04,1.053322e+07,5.178030e-06,1.926577e-03,5.178030e-06,1.926577e-03
pilot87,12500,-0.000000e+00,1.647461e+04,1.132704e+05,3.244151e+07,2.071771e-05,5.933712e-03,2.071771e-05,5.933712e-03
pilot87,18750,0.000000e+00,1.647461e+04,2.375923e+05,4.677594e+07,4.345681e-05,8.555552e-03,4.345681e-05,8.555552e-03
pilot87,25000,-0.000000e+00,1.647461e+04,7.164824e+04,2.752746e+07,1.310482e-05,5.034909e-03,1.310482e-05,5.034909e-03
pilot87,6250,0.000000e+00,1.647461e+04,2.059959e+04,7.432135e+06,3.767766e-06,1.359374e-03,3.767766e-06,1.359374e-03

=== PART 2: Gate-threshold sweep ===
model,iteration,test_point,min_xB,decision_exact,decision_est,match,conservativeness
pilot4_plain,0,0,0.000000e+00,no_action,no_action,True,SAME
pilot4_plain,0,-tol,-1.000000e-07,no_action,no_action,True,SAME
pilot4_plain,0,-1.1*tol,-1.100000e-07,soft_clamp,soft_clamp,True,SAME
pilot4_plain,0,-0.1*ee,-3.690246e-06,soft_clamp,soft_clamp,True,SAME
pilot4_plain,0,-ee,-3.690246e-05,soft_clamp,soft_clamp,True,SAME
pilot4_plain,0,-1.1*ee,-4.059271e-05,repair,soft_clamp,False,LESS_conservative
pilot4_plain,0,-10*ee,-3.690246e-04,repair,soft_clamp,False,LESS_conservative
pilot4_plain,0,-0.1*es,-3.741306e-05,repair,soft_clamp,False,LESS_conservative
pilot4_plain,0,-es,-3.741306e-04,repair,soft_clamp,False,LESS_conservative
pilot4_plain,0,-1.1*es,-4.115437e-04,repair,repair,True,SAME
pilot4_plain,0,-10*es,-3.741306e-03,repair,repair,True,SAME
pilot4_plain,1500,0,0.000000e+00,no_action,no_action,True,SAME
pilot4_plain,1500,-tol,-1.000000e-07,no_action,no_action,True,SAME
pilot4_plain,1500,-1.1*tol,-1.100000e-07,soft_clamp,soft_clamp,True,SAME
pilot4_plain,1500,-0.1*ee,-3.994019e-06,soft_clamp,soft_clamp,True,SAME
pilot4_plain,1500,-ee,-3.994019e-05,soft_clamp,soft_clamp,True,SAME
pilot4_plain,1500,-1.1*ee,-4.393421e-05,repair,soft_clamp,False,LESS_conservative
pilot4_plain,1500,-10*ee,-3.994019e-04,repair,soft_clamp,False,LESS_conservative
pilot4_plain,1500,-0.1*es,-6.804030e-05,repair,soft_clamp,False,LESS_conservative
pilot4_plain,1500,-es,-6.804030e-04,repair,soft_clamp,False,LESS_conservative
pilot4_plain,1500,-1.1*es,-7.484433e-04,repair,repair,True,SAME
pilot4_plain,1500,-10*es,-6.804030e-03,repair,repair,True,SAME
pilot4_plain,2250,0,0.000000e+00,no_action,no_action,True,SAME
pilot4_plain,2250,-tol,-1.000000e-07,no_action,no_action,True,SAME
pilot4_plain,2250,-1.1*tol,-1.100000e-07,soft_clamp,soft_clamp,True,SAME
pilot4_plain,2250,-0.1*ee,-3.999428e-06,soft_clamp,soft_clamp,True,SAME
pilot4_plain,2250,-ee,-3.999428e-05,soft_clamp,soft_clamp,True,SAME
pilot4_plain,2250,-1.1*ee,-4.399370e-05,repair,soft_clamp,False,LESS_conservative
pilot4_plain,2250,-10*ee,-3.999428e-04,repair,soft_clamp,False,LESS_conservative
pilot4_plain,2250,-0.1*es,-6.584143e-05,repair,soft_clamp,False,LESS_conservative
pilot4_plain,2250,-es,-6.584143e-04,repair,soft_clamp,False,LESS_conservative
pilot4_plain,2250,-1.1*es,-7.242557e-04,repair,repair,True,SAME
pilot4_plain,2250,-10*es,-6.584143e-03,repair,repair,True,SAME
pilot4_plain,3000,0,0.000000e+00,no_action,no_action,True,SAME
pilot4_plain,3000,-tol,-1.000000e-07,no_action,no_action,True,SAME
pilot4_plain,3000,-1.1*tol,-1.100000e-07,soft_clamp,soft_clamp,True,SAME
pilot4_plain,3000,-0.1*ee,-3.708542e-06,soft_clamp,soft_clamp,True,SAME
pilot4_plain,3000,-ee,-3.708542e-05,soft_clamp,soft_clamp,True,SAME
pilot4_plain,3000,-1.1*ee,-4.079396e-05,repair,soft_clamp,False,LESS_conservative
pilot4_plain,3000,-10*ee,-3.708542e-04,repair,soft_clamp,False,LESS_conservative
pilot4_plain,3000,-0.1*es,-4.917169e-05,repair,soft_clamp,False,LESS_conservative
pilot4_plain,3000,-es,-4.917169e-04,repair,soft_clamp,False,LESS_conservative
pilot4_plain,3000,-1.1*es,-5.408886e-04,repair,repair,True,SAME
pilot4_plain,3000,-10*es,-4.917169e-03,repair,repair,True,SAME
pilot4_plain,750,0,0.000000e+00,no_action,no_action,True,SAME
pilot4_plain,750,-tol,-1.000000e-07,no_action,no_action,True,SAME
pilot4_plain,750,-1.1*tol,-1.100000e-07,soft_clamp,soft_clamp,True,SAME
pilot4_plain,750,-0.1*ee,-3.992292e-06,soft_clamp,soft_clamp,True,SAME
pilot4_plain,750,-ee,-3.992292e-05,soft_clamp,soft_clamp,True,SAME
pilot4_plain,750,-1.1*ee,-4.391521e-05,repair,soft_clamp,False,LESS_conservative
pilot4_plain,750,-10*ee,-3.992292e-04,repair,soft_clamp,False,LESS_conservative
pilot4_plain,750,-0.1*es,-4.299627e-05,repair,soft_clamp,False,LESS_conservative
pilot4_plain,750,-es,-4.299627e-04,repair,soft_clamp,False,LESS_conservative
pilot4_plain,750,-1.1*es,-4.729589e-04,repair,repair,True,SAME
pilot4_plain,750,-10*es,-4.299627e-03,repair,repair,True,SAME
pilot87,0,0,0.000000e+00,no_action,no_action,True,SAME
pilot87,0,-tol,-1.000000e-07,no_action,no_action,True,SAME
pilot87,0,-1.1*tol,-1.100000e-07,soft_clamp,soft_clamp,True,SAME
pilot87,0,-0.1*ee,-5.178030e-07,soft_clamp,soft_clamp,True,SAME
pilot87,0,-ee,-5.178030e-06,soft_clamp,soft_clamp,True,SAME
pilot87,0,-1.1*ee,-5.695833e-06,repair,soft_clamp,False,LESS_conservative
pilot87,0,-10*ee,-5.178030e-05,repair,soft_clamp,False,LESS_conservative
pilot87,0,-0.1*es,-1.926577e-04,repair,soft_clamp,False,LESS_conservative
pilot87,0,-es,-1.926577e-03,repair,soft_clamp,False,LESS_conservative
pilot87,0,-1.1*es,-2.119235e-03,repair,repair,True,SAME
pilot87,0,-10*es,-1.926577e-02,repair,repair,True,SAME
