    progress: ~50 Phase-II iters, 9s elapsed obj=-178.8027
    progress: ~100 Phase-II iters, 18s elapsed obj=-232.6797
    progress: ~150 Phase-II iters, 28s elapsed obj=-235.6410
    progress: ~200 Phase-II iters, 37s elapsed obj=-240.3647
    progress: ~250 Phase-II iters, 46s elapsed obj=-241.9157
    progress: ~300 Phase-II iters, 55s elapsed obj=-242.0442
    progress: ~350 Phase-II iters, 64s elapsed obj=-242.0923
    progress: ~400 Phase-II iters, 74s elapsed obj=-242.1242
    progress: ~450 Phase-II iters, 83s elapsed obj=-244.1562
    progress: ~500 Phase-II iters, 92s elapsed obj=-246.2504
    progress: ~550 Phase-II iters, 101s elapsed obj=-248.4297
    progress: ~600 Phase-II iters, 110s elapsed obj=-249.2837
    progress: ~650 Phase-II iters, 119s elapsed obj=-249.5107
    progress: ~700 Phase-II iters, 128s elapsed obj=-249.6813
    progress: ~750 Phase-II iters, 138s elapsed obj=-249.7107
[run1] round 1: Phase II stopped at pivot 781 (current basis is not primal feasible); last_obj=-249.733263 failed-basis min_xB=-1.059e-06 cond2=1.361e+05
[run1] round 1: vertex cleanup swaps=0 cond2=1.361e+05 min_xB(gesv)=-1.059e-06
[run1] round 1: re-repair pivots=1 feas=True min_xB=-4.441e-16
    progress: ~50 Phase-II iters, 154s elapsed obj=-250.2025
    progress: ~100 Phase-II iters, 163s elapsed obj=-250.6474
    progress: ~150 Phase-II iters, 172s elapsed obj=-267.6996
    progress: ~200 Phase-II iters, 181s elapsed obj=-276.2641
    progress: ~250 Phase-II iters, 190s elapsed obj=-278.8860
    progress: ~300 Phase-II iters, 199s elapsed obj=-283.5195
    progress: ~350 Phase-II iters, 208s elapsed obj=-283.8003
    progress: ~400 Phase-II iters, 217s elapsed obj=-284.7622
    progress: ~450 Phase-II iters, 226s elapsed obj=-314.3503
    progress: ~500 Phase-II iters, 235s elapsed obj=-326.1980
    progress: ~550 Phase-II iters, 244s elapsed obj=-336.5215
    progress: ~600 Phase-II iters, 253s elapsed obj=-336.6197
    progress: ~650 Phase-II iters, 262s elapsed obj=-336.7545
    progress: ~700 Phase-II iters, 271s elapsed obj=-337.5511
    progress: ~750 Phase-II iters, 281s elapsed obj=-370.4445
    progress: ~800 Phase-II iters, 292s elapsed obj=-371.8363
    progress: ~850 Phase-II iters, 303s elapsed obj=-373.6556
    progress: ~900 Phase-II iters, 314s elapsed obj=-374.2427
    progress: ~950 Phase-II iters, 325s elapsed obj=-477.5681
    progress: ~1000 Phase-II iters, 333s elapsed obj=-516.1976
    progress: ~1050 Phase-II iters, 342s elapsed obj=-530.3792
    progress: ~1100 Phase-II iters, 352s elapsed obj=-543.3378
    progress: ~1150 Phase-II iters, 361s elapsed obj=-563.4414
    progress: ~1200 Phase-II iters, 370s elapsed obj=-576.1596
    progress: ~1250 Phase-II iters, 379s elapsed obj=-589.3284
    progress: ~1300 Phase-II iters, 388s elapsed obj=-592.1726
    progress: ~1350 Phase-II iters, 397s elapsed obj=-594.6511
    progress: ~1400 Phase-II iters, 406s elapsed obj=-595.5767
    progress: ~1450 Phase-II iters, 415s elapsed obj=-595.8542
    progress: ~1500 Phase-II iters, 424s elapsed obj=-596.6467
    progress: ~1550 Phase-II iters, 433s elapsed obj=-596.9710
    progress: ~1600 Phase-II iters, 442s elapsed obj=-597.8597
    progress: ~1650 Phase-II iters, 451s elapsed obj=-599.1624
    progress: ~1700 Phase-II iters, 460s elapsed obj=-599.9135
    progress: ~1750 Phase-II iters, 469s elapsed obj=-600.4054
    progress: ~1800 Phase-II iters, 478s elapsed obj=-600.6450
    progress: ~1850 Phase-II iters, 487s elapsed obj=-602.3421
    progress: ~1900 Phase-II iters, 496s elapsed obj=-602.9131
    progress: ~1950 Phase-II iters, 505s elapsed obj=-604.0351
    progress: ~2000 Phase-II iters, 514s elapsed obj=-606.9296
    progress: ~2050 Phase-II iters, 523s elapsed obj=-608.8104
    progress: ~2100 Phase-II iters, 532s elapsed obj=-609.2661
    progress: ~2150 Phase-II iters, 541s elapsed obj=-661.8497
    progress: ~2200 Phase-II iters, 550s elapsed obj=-812.5083
    progress: ~2250 Phase-II iters, 559s elapsed obj=-971.6900
    progress: ~2300 Phase-II iters, 568s elapsed obj=-1102.9287
    progress: ~2350 Phase-II iters, 577s elapsed obj=-1174.2845
    progress: ~2400 Phase-II iters, 586s elapsed obj=-1213.9579
    progress: ~2450 Phase-II iters, 595s elapsed obj=-1227.8136
    progress: ~2500 Phase-II iters, 604s elapsed obj=-1237.8919
    progress: ~2550 Phase-II iters, 614s elapsed obj=-1265.5227
    progress: ~2600 Phase-II iters, 624s elapsed obj=-1270.9173
    progress: ~2650 Phase-II iters, 633s elapsed obj=-1279.8924
    progress: ~2700 Phase-II iters, 643s elapsed obj=-1292.2403
    progress: ~2750 Phase-II iters, 652s elapsed obj=-1298.5744
    progress: ~2800 Phase-II iters, 661s elapsed obj=-1320.8443
